file,n,m,n_x_m,time,fitness,maxtoner
'/home/lucas/git/tonerscheduling/resources/704.txt',200,200,40000,0.394,190.0,190
'/home/lucas/git/tonerscheduling/resources/1344.txt',20,20,400,0.012,17.0,17
'/home/lucas/git/tonerscheduling/resources/1366.txt',20,20,400,0.006,17.0,17
'/home/lucas/git/tonerscheduling/resources/1199.txt',800,800,640000,2.43,800.0,800
'/home/lucas/git/tonerscheduling/resources/478.txt',1000,1000,1000000,7.747,726.0,726
'/home/lucas/git/tonerscheduling/resources/1120.txt',600,600,360000,1.97,557.0,557
'/home/lucas/git/tonerscheduling/resources/621.txt',150,150,22500,0.212,61.0,61
'/home/lucas/git/tonerscheduling/resources/1103.txt',600,600,360000,2.119,516.0,516
'/home/lucas/git/tonerscheduling/resources/785.txt',40,40,1600,0.02,17.0,17
'/home/lucas/git/tonerscheduling/resources/1114.txt',600,600,360000,1.971,564.0,564
'/home/lucas/git/tonerscheduling/resources/1067.txt',600,600,360000,0.939,600.0,600
'/home/lucas/git/tonerscheduling/resources/298.txt',40,30,1200,0.01,21.0,21
'/home/lucas/git/tonerscheduling/resources/528.txt',1000,1000,1000000,2.439,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/694.txt',175,175,30625,0.177,161.0,161
'/home/lucas/git/tonerscheduling/resources/770.txt',30,30,900,0.007,24.0,24
'/home/lucas/git/tonerscheduling/resources/178.txt',25,10,250,0.002,9.0,9
'/home/lucas/git/tonerscheduling/resources/836.txt',400,400,160000,1.587,195.0,195
'/home/lucas/git/tonerscheduling/resources/316.txt',40,38,1520,0.015,22.0,22
'/home/lucas/git/tonerscheduling/resources/780.txt',40,40,1600,0.01,37.0,37
'/home/lucas/git/tonerscheduling/resources/1298.txt',800,800,640000,4.241,692.0,692
'/home/lucas/git/tonerscheduling/resources/1085.txt',600,600,360000,1.063,600.0,600
'/home/lucas/git/tonerscheduling/resources/1152.txt',800,800,640000,2.975,782.0,782
'/home/lucas/git/tonerscheduling/resources/516.txt',1000,1000,1000000,2.897,1000.0,1000
'/home/lucas/git/tonerscheduling/resources/879.txt',400,400,160000,0.507,400.0,400
'/home/lucas/git/tonerscheduling/resources/184.txt',25,10,250,0.003,9.0,9
'/home/lucas/git/tonerscheduling/resources/861.txt',400,400,160000,0.528,400.0,400
'/home/lucas/git/tonerscheduling/resources/1269.txt',800,800,640000,1.712,800.0,800
'/home/lucas/git/tonerscheduling/resources/599.txt',125,125,15625,0.088,113.0,113
'/home/lucas/git/tonerscheduling/resources/850.txt',400,400,160000,0.531,400.0,400
'/home/lucas/git/tonerscheduling/resources/899.txt',400,400,160000,1.161,283.0,283
'/home/lucas/git/tonerscheduling/resources/85.txt',15,10,150,0.02,8.0,8
'/home/lucas/git/tonerscheduling/resources/1004.txt',600,600,360000,3.521,293.0,293
'/home/lucas/git/tonerscheduling/resources/192.txt',25,20,500,0.008,13.0,13
'/home/lucas/git/tonerscheduling/resources/233.txt',30,10,300,0.002,9.0,9
'/home/lucas/git/tonerscheduling/resources/790.txt',40,40,1600,0.015,24.0,24
'/home/lucas/git/tonerscheduling/resources/1088.txt',600,600,360000,1.126,600.0,600
'/home/lucas/git/tonerscheduling/resources/1270.txt',800,800,640000,1.707,800.0,800
'/home/lucas/git/tonerscheduling/resources/206.txt',25,30,750,0.008,15.0,15
'/home/lucas/git/tonerscheduling/resources/26.txt',200,200,40000,0.406,92.0,92
'/home/lucas/git/tonerscheduling/resources/1242.txt',800,800,640000,1.774,800.0,800
'/home/lucas/git/tonerscheduling/resources/830.txt',400,400,160000,0.567,400.0,400
'/home/lucas/git/tonerscheduling/resources/245.txt',30,20,600,0.005,15.0,15
'/home/lucas/git/tonerscheduling/resources/3.txt',50,50,2500,0.007,48.0,48
